epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1117.88,1.50141,1.27191,0.85862,0.81424,0,0.69826,0.57989,0.61586,0.36509,0.57074,0.48461,0.46546,0.18478,1.52461,1.48184,0.82575,0.78019,0,0.00122141,0.00122141,0.00122141
29,1194.68,1.50779,1.28253,0.85852,0.81877,0,0.70435,0.56705,0.5997,0.35017,0.59876,0.51882,0.49731,0.19739,1.55069,1.86673,0.82402,0.77844,0,0.00120491,0.00120491,0.00120491
30,1360.87,1.49241,1.25657,0.85189,0.81361,0,0.7141,0.58319,0.61641,0.36709,0.58145,0.48067,0.45601,0.1763,1.53038,1.63961,0.82642,0.78233,0,0.0011884,0.0011884,0.0011884
31,1493.63,1.49181,1.29156,0.84977,0.81454,0,0.71188,0.57627,0.61481,0.3697,0.57547,0.48027,0.47033,0.18861,1.52126,1.41425,0.82372,0.77765,0,0.0011719,0.0011719,0.0011719
32,1527.94,1.49542,1.28553,0.84312,0.8132,0,0.71759,0.58001,0.61763,0.3672,0.59164,0.49007,0.4682,0.1813,1.50947,1.72859,0.81158,0.77996,0,0.0011554,0.0011554,0.0011554
33,1565.69,1.48347,1.24775,0.8458,0.81151,0,0.69206,0.56336,0.59427,0.34908,0.57361,0.49058,0.46292,0.17777,1.55259,2.11356,0.84717,0.78889,0,0.00113889,0.00113889,0.00113889
34,1603.24,1.50793,1.30177,0.85102,0.81499,0,0.69028,0.54599,0.58159,0.33608,0.58976,0.50297,0.48211,0.18609,1.61237,2.37791,0.8637,0.78876,0,0.00112239,0.00112239,0.00112239
35,1753.93,1.47792,1.2685,0.83328,0.8103,0,0.70783,0.59342,0.62629,0.37769,0.56097,0.49243,0.45497,0.17355,1.47825,1.5681,0.8109,0.77406,0,0.00110589,0.00110589,0.00110589
36,1849.28,1.48422,1.26501,0.83415,0.80977,0,0.72812,0.5706,0.61496,0.36922,0.58886,0.49369,0.47435,0.18182,1.49784,1.78172,0.81076,0.77523,0,0.00108938,0.00108938,0.00108938
37,1883.62,1.47892,1.23292,0.82741,0.81176,0,0.74224,0.58666,0.63342,0.38404,0.60722,0.49552,0.47839,0.19118,1.47124,1.48409,0.78667,0.76772,0,0.00107288,0.00107288,0.00107288
38,1922.14,1.46644,1.24173,0.829,0.81027,0,0.72181,0.59039,0.62941,0.38152,0.56397,0.47559,0.44788,0.1681,1.4894,1.63885,0.79375,0.77542,0,0.00105638,0.00105638,0.00105638
39,1964.03,1.45521,1.21951,0.82295,0.80971,0,0.72711,0.5796,0.61972,0.3674,0.60681,0.5101,0.49522,0.19902,1.48928,1.69923,0.80667,0.77302,0,0.00103987,0.00103987,0.00103987
40,2002.94,1.47308,1.23495,0.82218,0.80866,0,0.72344,0.58247,0.62623,0.38146,0.58221,0.49042,0.47185,0.1878,1.4705,1.73998,0.78352,0.77683,0,0.00102337,0.00102337,0.00102337
41,2071.78,1.44067,1.22148,0.82048,0.80974,0,0.7088,0.58372,0.6131,0.35832,0.60018,0.51917,0.49777,0.19914,1.52806,1.83071,0.80536,0.77226,0,0.00100687,0.00100687,0.00100687
42,2219.79,1.43876,1.21894,0.81754,0.80972,0,0.70955,0.56927,0.61042,0.36528,0.58417,0.49235,0.47072,0.17945,1.51243,1.95548,0.83004,0.77824,0,0.000990365,0.000990365,0.000990365
43,2400.58,1.4435,1.22837,0.8215,0.80861,0,0.72926,0.58293,0.62557,0.37682,0.61483,0.49597,0.48653,0.19116,1.48677,1.71767,0.79728,0.77475,0,0.000973861,0.000973861,0.000973861
44,2557.79,1.42779,1.20246,0.80442,0.80806,0,0.7131,0.57528,0.61814,0.37578,0.56975,0.49569,0.46528,0.17887,1.47025,1.70519,0.80065,0.76931,0,0.000957358,0.000957358,0.000957358
45,2724.55,1.43705,1.2166,0.81311,0.8086,0,0.71442,0.59752,0.62931,0.38311,0.57737,0.51188,0.47626,0.18632,1.45905,1.70922,0.78333,0.76616,0,0.000940855,0.000940855,0.000940855
46,2876.26,1.42566,1.22165,0.80589,0.80942,0,0.73708,0.58837,0.63532,0.38253,0.59052,0.51266,0.48849,0.19191,1.46883,1.71016,0.78102,0.76796,0,0.000924352,0.000924352,0.000924352
47,3018.64,1.4211,1.19857,0.80269,0.80389,0,0.72916,0.58581,0.62384,0.37771,0.60349,0.49351,0.48267,0.1897,1.50906,1.84313,0.79971,0.78057,0,0.000907848,0.000907848,0.000907848
48,3163.08,1.4122,1.20594,0.80325,0.80635,0,0.72411,0.58355,0.6254,0.37512,0.60029,0.51575,0.48896,0.19482,1.50743,2.02706,0.79178,0.77755,0,0.000891345,0.000891345,0.000891345
49,3308.25,1.42165,1.21131,0.80634,0.80696,0,0.72494,0.5708,0.61308,0.36757,0.60243,0.5045,0.49326,0.19218,1.5069,1.75467,0.80347,0.78303,0,0.000874842,0.000874842,0.000874842
50,3457.71,1.4291,1.21878,0.80555,0.80742,0,0.74127,0.58303,0.63304,0.3869,0.59502,0.50588,0.49086,0.20175,1.45932,1.51002,0.7837,0.76755,0,0.000858338,0.000858338,0.000858338
51,3605.74,1.40339,1.20012,0.78892,0.80647,0,0.74205,0.59002,0.63916,0.39221,0.60317,0.49376,0.48237,0.18712,1.44537,1.76829,0.76245,0.76715,0,0.000841835,0.000841835,0.000841835
52,3752.15,1.39622,1.16839,0.79026,0.80583,0,0.73204,0.58306,0.62652,0.37573,0.59729,0.51599,0.49521,0.19714,1.47433,1.77678,0.78204,0.76635,0,0.000825332,0.000825332,0.000825332
53,3908.29,1.3987,1.17845,0.78979,0.80283,0,0.7226,0.58976,0.63004,0.38258,0.59312,0.50305,0.48138,0.18864,1.46078,1.82168,0.78223,0.77162,0,0.000808828,0.000808828,0.000808828
54,4059.63,1.41914,1.17691,0.79173,0.8043,0,0.73734,0.60167,0.63991,0.39328,0.61361,0.51459,0.50043,0.19733,1.42484,1.73151,0.75677,0.77323,0,0.000792325,0.000792325,0.000792325
55,4212.67,1.40225,1.20515,0.78872,0.8018,0,0.73337,0.58208,0.62817,0.37255,0.62025,0.52222,0.50654,0.20242,1.50928,1.88865,0.78656,0.77523,0,0.000775822,0.000775822,0.000775822
56,4362.57,1.38221,1.17851,0.77669,0.80211,0,0.73117,0.59267,0.63807,0.38785,0.59457,0.51863,0.49697,0.19536,1.44472,1.87078,0.7712,0.76905,0,0.000759318,0.000759318,0.000759318
57,4519.91,1.40007,1.16407,0.7826,0.80046,0,0.72507,0.60977,0.64383,0.39903,0.5899,0.51709,0.48851,0.19401,1.41831,1.62722,0.75579,0.76311,0,0.000742815,0.000742815,0.000742815
58,4668.29,1.36842,1.15051,0.77077,0.8011,0,0.72483,0.57997,0.61833,0.36768,0.61114,0.52006,0.50269,0.20624,1.50039,1.93638,0.78494,0.77537,0,0.000726312,0.000726312,0.000726312
59,4819.39,1.37675,1.16556,0.77218,0.80245,0,0.72465,0.58567,0.62542,0.37583,0.61188,0.52706,0.50778,0.20558,1.47285,1.7362,0.7785,0.77069,0,0.000709809,0.000709809,0.000709809
60,4978.73,1.39181,1.16491,0.77736,0.79943,0,0.72423,0.5927,0.63305,0.38227,0.60569,0.52072,0.49978,0.20231,1.4525,1.62613,0.77771,0.77496,0,0.000693305,0.000693305,0.000693305
61,5149.79,1.3786,1.14495,0.77363,0.80013,0,0.72321,0.58888,0.62469,0.37398,0.61948,0.52228,0.50149,0.20092,1.46893,1.85112,0.77681,0.76878,0,0.000676802,0.000676802,0.000676802
62,5323.16,1.37203,1.15598,0.76762,0.8001,0,0.73543,0.60947,0.64878,0.40064,0.5948,0.49419,0.47164,0.18797,1.4068,1.60616,0.7542,0.76297,0,0.000660299,0.000660299,0.000660299
63,5498.33,1.35971,1.14445,0.76604,0.79911,0,0.74697,0.60351,0.65411,0.40621,0.59398,0.49577,0.47812,0.18906,1.40478,1.6146,0.75729,0.76197,0,0.000643795,0.000643795,0.000643795
64,5670.85,1.36568,1.14577,0.76831,0.80206,0,0.74673,0.60224,0.64787,0.40032,0.6097,0.5182,0.49858,0.19956,1.404,1.80551,0.74066,0.76302,0,0.000627292,0.000627292,0.000627292
65,5973.9,1.3767,1.14314,0.7692,0.79675,0,0.74303,0.60304,0.64514,0.39905,0.60819,0.52291,0.50554,0.20265,1.41543,1.58945,0.74532,0.76258,0,0.000610789,0.000610789,0.000610789
66,6005.02,1.363,1.15527,0.76526,0.80202,0,0.73815,0.61203,0.65427,0.40788,0.60366,0.4994,0.48239,0.1925,1.40019,1.48413,0.74614,0.76339,0,0.000594286,0.000594286,0.000594286
67,6163,1.36084,1.13402,0.75997,0.79977,0,0.73072,0.62119,0.65227,0.40505,0.60199,0.52079,0.50248,0.20257,1.40901,1.51264,0.74641,0.76012,0,0.000577782,0.000577782,0.000577782
68,6332.69,1.36328,1.13405,0.75946,0.79931,0,0.73455,0.60444,0.64914,0.40249,0.62385,0.51908,0.51008,0.2074,1.40906,1.62895,0.73915,0.76511,0,0.000561279,0.000561279,0.000561279
69,6494.06,1.3583,1.1339,0.75703,0.79723,0,0.74091,0.62,0.65743,0.40728,0.61595,0.5195,0.50453,0.20166,1.39505,1.63993,0.74316,0.7617,0,0.000544776,0.000544776,0.000544776
70,6623.52,1.36342,1.14876,0.76355,0.80047,0,0.74683,0.61134,0.65277,0.40432,0.61501,0.52914,0.51505,0.21235,1.40594,1.57261,0.74222,0.76064,0,0.000528272,0.000528272,0.000528272
71,6787.15,1.36251,1.10784,0.75772,0.79524,0,0.73686,0.6207,0.65878,0.41141,0.59535,0.51498,0.48982,0.19602,1.37769,1.55163,0.7304,0.75616,0,0.000511769,0.000511769,0.000511769
72,6957.06,1.34135,1.13235,0.75294,0.79687,0,0.74017,0.60262,0.64643,0.39519,0.60446,0.52032,0.49791,0.19886,1.4172,1.75449,0.74304,0.76381,0,0.000495266,0.000495266,0.000495266
73,7117.08,1.34002,1.1239,0.7532,0.79528,0,0.75019,0.60624,0.652,0.40553,0.6125,0.52744,0.50645,0.20325,1.40092,1.79222,0.73459,0.76334,0,0.000478762,0.000478762,0.000478762
74,7150.11,1.35016,1.11299,0.75388,0.80092,0,0.74292,0.61632,0.65944,0.41146,0.60771,0.50996,0.49407,0.19714,1.38306,1.4235,0.73466,0.75894,0,0.000462259,0.000462259,0.000462259
75,7186.46,1.32931,1.12693,0.74691,0.79769,0,0.74565,0.61485,0.65299,0.40813,0.61323,0.51129,0.49927,0.2003,1.39003,1.56098,0.73728,0.76427,0,0.000445756,0.000445756,0.000445756
76,7223.3,1.34759,1.1249,0.75033,0.79683,0,0.73483,0.61333,0.6498,0.39681,0.6082,0.51766,0.49969,0.20001,1.4217,1.73645,0.74431,0.76388,0,0.000429253,0.000429253,0.000429253
77,7260.6,1.3423,1.11786,0.74853,0.79534,0,0.75212,0.61866,0.66095,0.4132,0.60425,0.52971,0.50546,0.20511,1.37651,1.56955,0.73019,0.75768,0,0.000412749,0.000412749,0.000412749
78,7300.3,1.33935,1.11236,0.7439,0.79283,0,0.74241,0.61966,0.66177,0.41183,0.60775,0.51145,0.49775,0.20176,1.37987,1.51102,0.72916,0.76134,0,0.000396246,0.000396246,0.000396246
79,7339.5,1.32867,1.1025,0.73743,0.79284,0,0.7446,0.62255,0.6605,0.41214,0.60886,0.51881,0.50374,0.20842,1.38235,1.53299,0.73046,0.7617,0,0.000379743,0.000379743,0.000379743
80,7377.93,1.33962,1.11896,0.74908,0.79607,0,0.73663,0.61223,0.65196,0.40174,0.60766,0.51947,0.50406,0.2064,1.42082,1.85627,0.74573,0.76825,0,0.000363239,0.000363239,0.000363239
81,7417.07,1.3199,1.11098,0.74011,0.79663,0,0.76233,0.61681,0.6617,0.41339,0.61056,0.51814,0.49967,0.20091,1.37719,1.58845,0.72958,0.76131,0,0.000346736,0.000346736,0.000346736
82,7455.83,1.32156,1.09942,0.73822,0.79502,0,0.74418,0.62296,0.6597,0.41439,0.59879,0.51258,0.4913,0.20053,1.37589,1.51005,0.72931,0.75869,0,0.000330233,0.000330233,0.000330233
83,7494.1,1.31847,1.10501,0.73448,0.79444,0,0.75315,0.62474,0.66606,0.42066,0.60915,0.5091,0.49231,0.19892,1.3676,1.49374,0.72612,0.76018,0,0.000313729,0.000313729,0.000313729
84,7532.77,1.32342,1.09922,0.73408,0.79183,0,0.76121,0.61746,0.66629,0.41712,0.60793,0.51677,0.50002,0.2002,1.37072,1.46777,0.72031,0.76021,0,0.000297226,0.000297226,0.000297226
85,7570.61,1.31702,1.09256,0.73003,0.79229,0,0.75546,0.61728,0.66353,0.41586,0.61637,0.51976,0.50916,0.20738,1.37794,1.55405,0.71907,0.76269,0,0.000280723,0.000280723,0.000280723
86,7609,1.32586,1.10166,0.73768,0.79588,0,0.74841,0.6258,0.66551,0.4165,0.59635,0.51697,0.4942,0.19681,1.36814,1.55021,0.72323,0.75964,0,0.00026422,0.00026422,0.00026422
87,7647.16,1.31754,1.08118,0.73029,0.79181,0,0.75525,0.61087,0.6588,0.40842,0.62584,0.52115,0.51232,0.20693,1.38515,1.56861,0.72856,0.76098,0,0.000247716,0.000247716,0.000247716
88,7685.5,1.31957,1.08169,0.73101,0.79387,0,0.74462,0.62059,0.66285,0.41729,0.61843,0.51403,0.50469,0.20469,1.36645,1.60294,0.71932,0.7592,0,0.000231213,0.000231213,0.000231213
89,7723.9,1.30435,1.09548,0.72762,0.79093,0,0.75246,0.61689,0.66205,0.41322,0.61851,0.51893,0.50872,0.20573,1.37516,1.61985,0.71815,0.75926,0,0.00021471,0.00021471,0.00021471
90,7762.68,1.30618,1.08764,0.72359,0.78975,0,0.75031,0.61597,0.66223,0.41292,0.60456,0.52927,0.51053,0.20701,1.3731,1.5845,0.71946,0.76012,0,0.000198206,0.000198206,0.000198206
91,7818.61,1.30794,1.0753,0.7234,0.78707,0,0.75026,0.61269,0.66072,0.41227,0.61269,0.50614,0.4994,0.19884,1.37233,1.64884,0.72129,0.7604,0,0.000181703,0.000181703,0.000181703
92,7840.91,1.29143,1.04329,0.70907,0.78473,0,0.75414,0.62024,0.66674,0.4205,0.61964,0.51226,0.50746,0.2041,1.35566,1.60434,0.71355,0.75896,0,0.0001652,0.0001652,0.0001652
93,7863.88,1.29287,1.06569,0.70728,0.78585,0,0.75953,0.6096,0.66164,0.4127,0.61953,0.51781,0.51004,0.20826,1.37653,1.63715,0.71537,0.75933,0,0.000148696,0.000148696,0.000148696
94,7887.61,1.28166,1.04435,0.70353,0.78577,0,0.75174,0.618,0.66619,0.41614,0.60883,0.52582,0.50994,0.20795,1.36825,1.61667,0.7105,0.75844,0,0.000132193,0.000132193,0.000132193
95,7910.7,1.28326,1.04645,0.70271,0.78384,0,0.75103,0.62284,0.6678,0.41917,0.60931,0.51222,0.50154,0.20197,1.35491,1.60046,0.71243,0.75859,0,0.00011569,0.00011569,0.00011569
96,7933.92,1.28146,1.049,0.70247,0.78299,0,0.7567,0.61941,0.66718,0.41579,0.61901,0.52522,0.51298,0.20767,1.36341,1.74365,0.71022,0.75535,0,9.91865e-05,9.91865e-05,9.91865e-05
97,7957.4,1.2729,1.04053,0.69519,0.77995,0,0.76007,0.62358,0.66898,0.42202,0.61056,0.51765,0.50272,0.20297,1.34958,1.5945,0.70874,0.75411,0,8.26832e-05,8.26832e-05,8.26832e-05
98,7980.86,1.27862,1.03603,0.69654,0.78093,0,0.76263,0.61413,0.66505,0.417,0.61988,0.52709,0.51628,0.21192,1.36399,1.67533,0.70799,0.7561,0,6.61799e-05,6.61799e-05,6.61799e-05
99,8004.07,1.27343,1.03905,0.69584,0.78322,0,0.75832,0.61839,0.66594,0.41842,0.61765,0.53057,0.51598,0.20993,1.36059,1.66353,0.70362,0.75726,0,4.96766e-05,4.96766e-05,4.96766e-05
100,8026.83,1.26821,1.03268,0.69533,0.78303,0,0.76283,0.62199,0.66792,0.42144,0.6225,0.5246,0.51422,0.20892,1.35247,1.59895,0.70237,0.75538,0,3.31733e-05,3.31733e-05,3.31733e-05
