frame,droplet_count,ligament_count,main_ligament_count,uncertain_count,main_region_area,total_detected_area,avg_droplet_diameter,avg_ligament_aspect_ratio,avg_ligament_length
131,59,15,2,6,18403.5,27453.0,6.084063791053015,3.0399180060833197,46.2
132,61,11,0,8,0,9103.5,6.163644137642993,2.7508440332743542,61.45454545454545
133,64,16,1,7,18848.5,27803.0,5.968503516099995,3.017207494819671,41.1875
134,65,19,2,5,16338.0,25594.0,6.001712722430162,2.7457848756185146,36.94736842105263
135,64,18,2,4,17622.5,25525.0,6.035612010387073,2.523027999189321,30.444444444444443
136,66,17,2,3,17988.0,25157.0,6.3379784121403,2.309703017105215,25.176470588235293
137,62,14,2,6,20285.5,27134.0,6.5463794472751085,2.249832944325194,27.142857142857142
138,59,14,2,6,23890.5,30882.5,6.68897879676998,2.5858022046537785,30.142857142857142
139,61,16,2,8,25507.5,32742.5,6.198004397075665,2.6717971559764475,27.875
140,66,20,1,7,17702.5,29575.0,6.278302253401556,2.6584201096471474,43.85
141,65,19,1,4,17769.5,29208.0,6.48286357992724,2.5810103438462346,43.68421052631579
142,59,23,1,5,14528.5,24698.5,6.126114472251135,2.380812521983741,31.695652173913043
143,58,20,1,7,12874.5,23593.0,6.006171404872783,2.282941692061719,38.8
144,59,22,1,13,11039.5,21682.0,6.088719862858083,2.3039460779659664,26.545454545454547
145,64,18,1,10,13438.0,23938.5,6.062218812879312,2.4044706140214767,32.333333333333336
146,61,20,1,8,13581.5,23621.0,5.920485572336501,2.2126485637884623,29.0
147,62,22,0,8,0,10108.5,5.585010517258954,2.3580223616968614,30.136363636363637
148,60,20,1,7,9529.0,23652.0,5.795372576439335,2.1347474443382137,37.5
149,59,19,1,10,13821.5,23427.0,5.629024291719307,2.18425145639885,39.0
150,61,19,1,8,13736.0,22964.5,5.760398720742131,2.124000212964902,35.68421052631579
151,61,17,1,10,13556.0,22646.0,5.801752531355556,2.091477208723848,37.294117647058826
152,71,17,1,5,11766.0,20510.0,6.121701128466692,2.258845567033,32.35294117647059
153,70,16,1,8,12986.5,21737.5,5.600026307409218,2.36595157129426,35.875
154,69,16,1,11,13173.5,21719.0,5.632923295037033,2.7553739784756583,33.5625
155,69,18,1,7,13642.0,21830.5,5.550239128068047,2.349031172261565,33.44444444444444
156,71,15,1,7,14202.5,21558.5,5.75117888924124,2.4043753826109358,32.8
157,82,14,1,3,15003.0,21860.5,5.562894454884592,2.5646607168608195,33.214285714285715
158,78,16,1,5,15207.0,21213.0,5.534073024085046,2.6106254322684537,28.0625
159,80,12,1,4,11760.5,18496.5,5.727387082198367,2.2453616153425435,40.166666666666664
160,81,15,1,6,12461.0,21154.5,5.761829936629615,2.3025504461930733,27.333333333333332
161,75,14,1,6,12893.5,22092.5,5.419990085273646,2.281854610472376,37.57142857142857
162,75,16,1,5,15399.0,22679.0,5.440962245846296,2.3015780029382795,15.8125
163,76,13,1,6,15447.5,22860.5,5.5427668183847985,2.4847880218407963,21.076923076923077
