epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,73.2831,2.1902,2.61445,2.11949,0.96359,0,0.1927,0.4855,0.25489,0.10295,0.15287,0.50964,0.23144,0.07112,2.14051,4.01654,2.05994,0.91777,0,0.00055011,0.00055011,0.00055011
2,145.3,1.93604,1.82821,1.28518,0.87209,0,0.49402,0.47393,0.38751,0.19308,0.41665,0.42372,0.32846,0.12535,1.81378,2.02826,1.27431,0.8467,0,0.00109483,0.00109483,0.00109483
3,220.356,1.92637,1.84251,1.23708,0.86107,0,0.51442,0.45244,0.40213,0.18458,0.40933,0.36535,0.28236,0.09719,1.92416,2.48215,1.23724,0.85168,0,0.00162855,0.00162855,0.00162855
